	lines	label
15401	雷欧提斯，我的剑术荒疏已久，只能给你帮场，正像最黑暗的夜里一颗吐耀的明星一般，彼此相形之下，一定更显得你的本领的高强。	ZSH
15221	我没有改变我的初心，一切服从王上的旨意。现在也好，无论什么时候都好，只要他方便，我总是随时准备着，除非我丧失了现在所有的力气。	ZSH
2228	[国王上。	SDY
9291	我就去这么说。[下]	ZSH
603	你是所答非所问，哈姆雷特。这些话与我无干。	BZL
1958	怕痛畏缩去吧，我们颈脊上没有擦破。	SDY
10701	你这句话是什么意思？	ZSH
908	包吃。女老板马上把一块面团放进烘炉给他烘制；可是女儿就怪她下该拿了大大的一块，把它减缩到极小的一点点。面团却不久开始胀大了，马上变成了极大的一块。女儿不禁叫出来，‘咻，咻，咻’，这种猫头鹰式的声音也许就使救世主想起了主意，为了她的邪恶，叫地变成了那样一只鸟。”	BZL
10881	第四场　丹麦原野	ZSH
7291	这些家伙可以告诉我们一切；演戏的都不能保守秘密，他们什么话都会说出来。	ZSH
1244	碰着了，碰着了，我承认。	BZL
635	他会告诉我们这场哑剧是什么意思吗？	BZL
1248	葛忒露德，不要喝，不要喝！	BZL
11710	可是这是在什么地方？	ZSH
15901	不，不，那杯酒，那杯酒——啊，我的亲爱的哈姆雷特！那杯酒，那杯酒，我中毒了。[死]	ZSH
1861	[旁白]啊，天上的众神明，恢复他的灵性！	SDY
832	相信我会尊重你们的心机，不尊重我自己的心思。而且身为堂堂王子，居然受海绵质问，该怎么置答呢？	BZL
1362	斫它，它若不站住。	SDY
7131	您以为我在转着下流的念头吗？	ZSH
1545	天兵神将哟！地师土伯们！还有甚？加上幽冥的凶煞吗？挺住，我的心；我的筋腱啊，莫在顷刻间变衰老，绷紧着，把我挺起来。要把你记心上？是啊，只要这神思错乱的头脑里有记忆，可怜的阴魂。要把你记心上？是啊，从我记忆的小手册上面我要抹掉一切琐碎的蠢记录，一切书本上的格言，一切形象，年少时观察所留下的一切戳记；只让你对我提出的这个昭示独独留在我头脑的书卷之中，不羼杂鄙陋的东西；青天在上，啊，最恶劣不堪的妇人！啊，坏蛋，坏蛋，笑吟吟、可恶的坏蛋！我的小手册，——我该把这个记下来，一个人笑吟吟，笑吟吟，可是个坏蛋；至少我知道在丹麦的确是这样：好吧，叔父，给你记上了。现在来听我这话：“再会，再会！要把我记心上。”我立下了誓言。[自内。]殿下！殿下！	SDY
12691	是什么本领呢，陛下？	ZSH
14851	不，殿下，我还是这样舒服些，真的。殿下，雷欧提斯新近到我们的宫廷里来；相信我，他是一位完善的绅士，充满着最卓越的特点，他的态度非常温雅，他的谈吐又显得非常渊博；说一句发自心中的话，他是上流社会的指南针，因为在他身上可以找到一个绅士所应有的品质的总汇。	ZSH
1075	为什么？	BZL
202	不，我们要跟他去。（同下。	BZL
116	你没有对它说话吗？	BZL
1211	我看殿下会输的。	BZL
6791	啊！你们必须彻底纠正这一种弊病，还有你们那些扮演小丑的，除了剧本上专为他们写下的台词以外，不要让他们临时编造一些话加上去。往往有许多小丑爱用自己的笑声，引起台下一些无知的观众的哄笑，虽然那时候全场的注意力应当集中于其他更重要的问题上；这种行为是不可恕的，它表示出那丑角的可鄙的野心。去，准备起来吧。[伶人等同下]	ZSH
15541	请裁判员公断。	ZSH
1190	王上跟他打了赌，拿出了六匹巴巴里骏马，他那一方面呢，据我所知，押上了六把法国宝剑和宝刀——吊带、带钩之类的附件，一应俱全。三套吊架实在是动人心	BZL
15381	我绝对信任你的诚意，愿意奉陪你举行这一次友谊的比赛。把钝剑给我们。来。	ZSH
1529	不用可怜我，只要认真倾听着我要说的事。	SDY
386	你放心，我再没有什么比你的“陪”更是一向情愿、巴不得“少”了的──除开我的生命，除开我的生命，除开我的生命。	BZL
2071	别走，别走，坐下来；你不得走动；我先来安一方明镜在你面前，你得看见了你内心的真相才走。	SDY
2240	[霍瑞旭下。	SDY
